,,,"各直轄市及縣(市)","總預算彙編",,,,
,,,"歲 入 歲  出  性  質  及  餘","絀  簡  明  比  較 分  析  表",,,,
,,,"中 華 民 國","103 年 度",,,"     單位：新臺幣千元",
"      項        目","本 年 度 預 算 數",,"上 年 度 預 算 數",,"前 年 度 決 算 數",,"本年度與上年度比較",
"N錰㡽聞ƕ","金    額","","金    額","","金    額","","金    額",""
"","924469051","100","918168179","100","916084813","100","6300872","0.69"
"1.直接稅收入","276287201","29.89","264043891","28.76","262170099","28.62","12243310","4.64"
"2.間接稅收入","219487171","23.74","219260314","23.88","209806485","22.9","226857","0.1"
"3.賦稅外收入","428694679","46.37","434863974","47.36","444108229","48.48","-6169295","-1.42"
"","840291730","100","831720908","100","808111032","100","8570822","1.03"
"","821194307","97.72","811750325","97.6","797703555","98.71","9443982","1.16"
"2.債務利息及事務支出","13249957","1.58","13756792","1.65","10176142","1.26","-506835","-3.68"
"3.預備金","5847466","0.7","6213791","0.75","231335","0.03","-366325","-5.9"
"","84177321",,"86447271",,"107973781",,"-2269950",
,,,,,,,,
"",,,,,,,,
"","21481843","100","34619963","100","18418668","100","-13138120","-37.95"
"","19841798","92.37","32429096","93.67","15337946","83.27","-12587298","-38.81"
"","1640045","7.63","2190867","6.33","3080722","16.73","-550822","-25.14"
"","197513760","100","194477840","100","189304469","100","3035920","1.56"
"","169909849","86.03","165428869","85.06","168039512","88.77","4480980","2.71"
"","18333023","9.28","20052738","10.31","15409637","8.14","-1719715","-8.58"
"3.預備金","9270888","4.69","8996233","4.63","5855320","3.09","274655","3.05"
"","-176031917",,"-159857877",,"-170885801",,"-16174040",
"","-91854596",,"-73410606",,"-62912020",,"-18443990",
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,
,,,
,,,,,"",,,,,,,,,,"",,,,,,
,,,,,"",,,,,,,,,"",,,,,,,
,,,,,,"",,,,,"單位：新臺幣千元",,,,,"中華民國103年度",,,,,"單位：新臺幣千元"
,"","","","1.直接稅收入","2.間接稅收入","3.賦稅外收入","","","2.債務利息及事務支出","3.預備金","","","","","","","","","預備金","",""
,"本年度
預算數",,,,,,,,,,,,,,,,,,,,
,"總  計",,"924469051","276287201","219487171","428694679","840291730","821194307","13249957","5847466","84177321",,"21481843","19841798","1640045","197513760","169909849","18333023","9270888","-176031917","-91854596"
,"",,"620159365","221872043","160942395","237344927","583429889","571411704","8715285","3302900","36729476",,"19188185","17564728","1623457","136527069","113134921","17493036","5899112","-117338884","-80609408"
,"",,"160498186","57894000","45001107","57603079","149220342","144839834","3302967","1077541","11277844",,"348765","348765","0","22011054","20142686","1130868","737500","-21662289","-10384445"
,"",,"128015990","56072669","26490449","45452872","119582340","117936919","880700","764721","8433650",,"9510134","9510134","0","39925982","23790643","14735339","1400000","-30415848","-21982198"
,"",,"92799139","36072581","22854627","33871931","87902436","86664186","770000","468250","4896703",,"711114","711114","0","23965882","22683768","82114","1200000","-23254768","-18358065"
,"",,"69675828","22762149","16788518","30125161","64279485","62518648","1221437","539400","5396343",,"3623457","2000000","1623457","15819800","15108800","1000","710000","-12196343","-6800000"
,"",,"110029472","27440000","34721668","47867804","108209746","105795767","2160991","252988","1819726",,"4943715","4943715","0","18763441","16801392","1043715","918334","-13819726","-12000000"
,"桃園縣",,"59140750","21630644","15086026","22424080","54235540","53656350","379190","200000","4905210",,"51000","51000","0","16040910","14607632","500000","933278","-15989910","-11084700"
,"",,"304309686","54415158","58544776","191349752","256861841","249782603","4534672","2544566","47447845",,"2293658","2277070","16588","60986691","56774928","839987","3371776","-58693033","-11245188"
,"宜蘭縣",,"18682283","3897568","3147827","11636888","15814109","15385406","293703","135000","2868174",,"16000","16000","0","4256715","4056006","0","200709","-4240715","-1372541"
,"新竹縣",,"22107698","5704420","4689258","11714020","18712543","17643817","564544","504182","3395155",,"1714422","1714422","0","6909577","6652577","0","257000","-5195155","-1800000"
,"苗栗縣",,"29760530","3823700","4255945","21680885","19430821","18680821","550000","200000","10329709",,"0","0","0","5729709","5478103","0","251606","-5729709","4600000"
,"彰化縣",,"37547892","7214079","8614684","21719129","33750762","33038468","532294","180000","3797130",,"19500","19500","0","8678357","8235757","17600","425000","-8658857","-4861727"
,"南投縣",,"20862440","3086468","4743343","13032629","18090425","17618297","359128","113000","2772015",,"2000","2000","0","2609575","2402575","0","207000","-2607575","164440"
,"雲林縣",,"26692000","4305750","5694860","16691390","22444430","21777842","655629","10959","4247570",,"0","0","0","5568570","5205290","0","363280","-5568570","-1321000"
,"嘉義縣",,"21350000","2640555","3895333","14814112","18868307","18372666","488000","7641","2481693",,"50000","50000","0","3131693","2804653","27040","300000","-3081693","-600000"
,"屏東縣",,"30270487","4983947","6643069","18643471","26425595","26095595","300000","30000","3844892",,"74513","74513","0","4069405","3764178","0","305227","-3994892","-150000"
,"臺東縣",,"12880175","1635545","2330735","8913895","12320685","12180685","100000","40000","559490",,"10000","10000","0","2307347","2101047","0","206300","-2297347","-1737857"
,"花蓮縣",,"16917509","2334723","3188301","11394485","14132178","13873214","187764","71200","2785331",,"90020","90020","0","3225351","3065351","0","160000","-3135331","-350000"
,"澎湖縣",,"7578482","784012","1000679","5793791","6951265","6854495","33770","63000","627217",,"141068","140000","1068","2064334","1678287","295347","90700","-1923266","-1296049"
,"基隆市",,"16027307","4060645","2927331","9039331","14067576","13840836","196240","30500","1959731",,"63933","48413","15520","2800500","2629500","0","171000","-2736567","-776836"
,"新竹市",,"17837250","6380412","3417550","8039288","15244130","13985590","230000","1028540","2593120",,"100002","100002","0","3137122","2951122","0","186000","-3037120","-444000"
,"嘉義市",,"10834749","2844344","2079228","5911177","9936347","9845347","42600","48400","898402",,"12000","12000","0","1227657","1140057","0","87600","-1215657","-317255"
,"金門縣",,"12009132","587522","1639640","9781970","8690211","8624561","0","65650","3318921",,"200","200","0","4038561","3414407","500000","124154","-4038361","-719440"
,"",,"2951752","131468","276993","2543291","1982457","1964963","1000","16494","969295",,"0","0","0","1232218","1196018","0","36200","-1232218","-262923"
,"上年度
預算數",,,,,,,,,,,,,,,,,,,,
,"總  計",,"918168179","264043891","219260314","434863974","831720908","811750325","13756792","6213791","86447271",,"34619963","32429096","2190867","194477840","165428869","20052738","8996233","-159857877","-73410606"
,"",,"616824496","212714212","161186213","242924071","576677736","564630084","8995656","3051996","40146760",,"31400217","29250774","2149443","136459963","110779100","20013863","5667000","-105059746","-64912986"
,"",,"152836434","54931000","45388702","52516732","150258640","145768463","3704543","785634","2577794",,"348765","348765","0","23669497","22121983","570514","977000","-23320732","-20742938"
,"",,"121454040","49647291","27135470","44671279","119179547","117597887","792999","788661","2274493",,"12212322","12212322","0","36236815","21431478","13505337","1300000","-24024493","-21750000"
,"",,"99739825","36838003","22485247","40416575","85932042","84645262","793000","493780","13807783",,"2700100","2700100","0","21624273","20373273","71000","1180000","-18924173","-5116390"
,"",,"76467923","24325868","16462074","35679981","64209339","62348672","1340667","520000","12258584",,"10458443","8884000","1574443","22717027","17628628","4298399","790000","-12258584","0"
,"",,"107239274","26798000","35034146","45407128","106427844","104145861","1898062","383921","811430",,"5639587","5064587","575000","19954675","18536162","628513","790000","-14315088","-13503658"
,"桃園縣",,"59087000","20174050","14680574","24232376","50670324","50123939","466385","80000","8416676",,"41000","41000","0","12257676","10687576","940100","630000","-12216676","-3800000"
,"",,"301343683","51329679","58074101","191939903","255043172","247120241","4761136","3161795","46300511",,"3219746","3178322","41424","58017877","54649769","38875","3329233","-54798131","-8497620"
,"宜蘭縣",,"18605586","3659455","3375091","11571040","15390654","14943265","312389","135000","3214932",,"10000","10000","0","3224932","3038020","0","186912","-3214932","0"
,"新竹縣",,"24321067","4757527","4209155","15354385","20037837","18192431","550841","1294565","4283230",,"300011","300011","0","4983241","4699861","32380","251000","-4683230","-400000"
,"苗栗縣",,"24258367","3706728","4138798","16412841","19448931","18598931","650000","200000","4809436",,"2074763","2074763","0","6884199","6620867","0","263332","-4809436","0"
,"彰化縣",,"35462663","7005695","8539532","19917436","32807384","32095163","532221","180000","2655279",,"28500","28500","0","7035287","6636287","0","399000","-7006787","-4351508"
,"南投縣",,"20298000","2844211","4505819","12947970","17996878","17455894","390984","150000","2301122",,"2000","2000","0","2303122","2100122","0","203000","-2301122","0"
,"雲林縣",,"27778020","4432213","5821205","17524602","22755749","22095056","649734","10959","5022271",,"7980","7980","0","5030251","4672391","0","357860","-5022271","0"
,"嘉義縣",,"20825000","2615113","3880330","14329557","18847720","18352233","488000","7487","1977280",,"75000","75000","0","2552280","2254460","3820","294000","-2477280","-500000"
,"屏東縣",,"30347888","4556100","6523670","19268118","25951501","25621501","300000","30000","4396387",,"228112","228112","0","4624499","4318247","0","306252","-4396387","0"
,"臺東縣",,"12548095","1676694","2439335","8432066","11824106","11684106","100000","40000","723989",,"80000","80000","0","2571554","2366554","0","205000","-2491554","-1767565"
,"花蓮縣",,"17291803","2158651","3127265","12005887","14246275","13951114","237961","57200","3045528",,"50020","50020","0","3095548","2921548","0","174000","-3045528","0"
,"澎湖縣",,"7947062","747654","999501","6199907","6918454","6834454","21000","63000","1028608",,"101070","100000","1070","2514344","2416669","2675","95000","-2413274","-1384666"
,"基隆市",,"16980992","3741865","2884866","10354261","14043787","13817047","196240","30500","2937205",,"139667","99313","40354","2908210","2737210","0","171000","-2768543","168662"
,"新竹市",,"17883110","5937954","3433583","8511573","15230523","14161983","250000","818540","2652587",,"112423","112423","0","2833898","2651898","0","182000","-2721475","-68888"
,"嘉義市",,"11342612","2792510","2284279","6265823","9834360","9691694","80266","62400","1508252",,"10000","10000","0","1770247","1682647","0","87600","-1760247","-251995"
,"金門縣",,"12269065","572858","1638754","10057453","7734763","7669113","0","65650","4534302",,"200","200","0","4268046","4152716","0","115330","-4267846","266456"
,"",,"3184353","124451","272918","2786984","1974250","1956256","1500","16494","1210103",,"0","0","0","1418219","1380272","0","37947","-1418219","-208116"
,"",,,,,,,,,,,,,,,,,,,,
,"總  計",,"916084813","262170099","209806485","444108229","808111032","797703555","10176142","231335","107973781",,"18418668","15337946","3080722","189304469","168039512","15409637","5855320","-170885801","-62912020"
,"",,"620709669","205445982","156364727","258898960","571395447","563851188","7320922","223337","49314222",,"14108329","11503999","2604330","119997591","100901908","14634384","4461299","-105889262","-56575040"
,"",,"160139495","55774076","46214756","58150663","148999330","146092872","2794127","112331","11140165",,"931425","931425","0","27075905","23191942","3630866","253097","-26144480","-15004315"
,"",,"131873914","50352810","26245082","55276022","120429992","119834273","544874","50845","11443922",,"2803814","2803814","0","29436527","23491124","4880661","1064742","-26632713","-15188791"
,"",,"94136687","34364572","22111282","37660833","81584546","81044625","539921","0","12552141",,"1024655","1024655","0","18298816","17190201","145500","963115","-17274161","-4722020"
,"",,"72122807","20487858","16004738","35630211","65190958","64371488","803980","15490","6931849",,"5494255","5489925","4330","17393385","11479922","5075650","837813","-11899130","-4967281"
,"",,"100358075","24481564","31248742","44627769","105432139","103122085","2265383","44671","-5074064",,"3452272","952272","2500000","19457813","18485818","250230","721765","-16005541","-21079605"
,"桃園縣",,"62078691","19985102","14540127","27553462","49758482","49385845","372637","0","12320209",,"401908","301908","100000","8335145","7062901","651477","620767","-7933237","4386972"
,"",,"295375144","56724117","53441758","185209269","236715585","233852367","2855220","7998","58659559",,"4310339","3833947","476392","69306878","67137604","775253","1394021","-64996539","-6336980"
,"宜蘭縣",,"18435508","3323562","3153093","11958853","14750235","14501438","248797","0","3685273",,"1521649","1521649","0","4545638","4545638","0","0","-3023989","661284"
,"新竹縣",,"22295878","5022779","3459790","13813309","15778740","15305690","473050","0","6517138",,"362860","362860","0","6511008","6511008","0","0","-6148148","368990"
,"苗栗縣",,"21950364","4156225","3696300","14097839","18987320","18637320","350000","0","2963044",,"285295","146358","138937","8947867","8632517","0","315350","-8662572","-5699528"
,"彰化縣",,"36228842","7713399","7748907","20766536","31841218","31586556","254342","320","4387624",,"19154","19154","0","7633460","7081632","428271","123557","-7614306","-3226682"
,"南投縣",,"21553259","3108167","4595678","13849414","18114593","17900250","214343","0","3438666",,"2438","2438","0","3513793","3310801","0","202992","-3511355","-72689"
,"雲林縣",,"23911345","4892878","4702568","14315899","20033693","19779691","246541","7461","3877652",,"97505","97505","0","4701068","4507712","0","193356","-4603563","-725911"
,"嘉義縣",,"21086802","3711365","4336876","13038561","17079314","16854800","224514","0","4007488",,"6452","6452","0","4899261","4875701","23560","0","-4892809","-885321"
,"屏東縣",,"32140049","5349893","5443378","21346778","25611282","25273134","338148","0","6528767",,"228402","226331","2071","7215669","6910956","500","304213","-6987267","-458500"
,"臺東縣",,"13473416","1562878","2475490","9435048","11057900","10997322","60578","0","2415516",,"56904","56904","0","3150954","2993954","12000","145000","-3094050","-678534"
,"花蓮縣",,"16334127","2738738","2746320","10849069","13145268","13004444","140824","0","3188859",,"1179470","1179470","0","3221388","3221388","0","0","-2041918","1146941"
,"澎湖縣",,"7825508","1134256","930398","5760854","6219830","6200830","19000","0","1605678",,"138656","137588","1068","2526875","2501425","10922","14528","-2388219","-782541"
,"基隆市",,"16127522","3598108","3083132","9446282","13006490","12892508","113982","0","3121032",,"353974","19658","334316","3212257","3158596","0","53661","-2858283","262749"
,"新竹市",,"16830055","6628268","3279824","6921963","13368347","13218344","150003","0","3461708",,"10959","10959","0","2990593","2990593","0","0","-2979634","482074"
,"嘉義市",,"10639979","2866885","1863142","5909952","8974177","8952862","21098","217","1665802",,"44857","44857","0","1390852","1378882","0","11970","-1345995","319807"
,"金門縣",,"13473542","614297","1662865","11196380","6919144","6919144","0","0","6554398",,"1741","1741","0","3602156","3302156","300000","0","-3600415","2953983"
,"",,"3068948","302419","263997","2502532","1828034","1828034","0","0","1240914",,"23","23","0","1244039","1214645","0","29394","-1244016","-3102"
