,,,"","總預算彙編",,,,
,,,"","",,,,
,,,"中華民國","",,,"",
"    項        目","本年度預算數",,"上年度預算數",,"",,"本年度與上年度比較",
,"金    額","","金    額","","金    額","","金    額",""
"N爰敫ࡑࡔފ","475532586","100","441539548","100","404513670","100","33993038","7.69875272871367"
"","191741690","40.32","196177372","44.43","187914469","46.46","-4435682","-2.26105689702072"
"","5","0","5","0","1765","0","0","0"
"","10365590","2.18","10938662","2.48","13262367","3.28","-573072","-5.2389588415841"
"","11919473","2.51","9402476","2.13","9788927","2.42","2516997","26.7695126262487"
"","1682","0","1313","0","9638","0","369","28.1035795887281"
"","7100129","1.49","5426843","1.23","4077551","1.01","1673286","30.8335066999359"
"","1614691","0.34","1824728","0.41","1582473","0.39","-210037","-11.5105922636141"
"","239298798","50.32","203784881","46.15","174602812","43.16","35513917","17.427159868646"
"","1957992","0.41","565671","0.13","1102148","0.27","1392321","246.136181632079"
"","0","0","0","0","0","0","0","ERROR"
"","11532536","2.43","13417597","3.04","12171520","3.01","-1885061","-14.0491699072494"
,,,,,,,,
"1.z²Š6eeQ二爰恵ࡑࡔঊ 1.N,‚?eÙR/eúQ","535309121","100","494211241","100","464848355","100","41097880","8.31585293706421"
"","55015332","10.28","52824447","10.68","52093580","11.2","2190885","4.14748307729563"
"2.Ye²€Ñyx[‡eS/eúQ	 3.經濟發展支出	 4.","198061598","36.98","191374125","38.72","184530381","39.7","6687473","3.49444994196577"
"","76155160","14.23","61955558","12.54","71731435","15.43","14199602","22.9190123668969"
"","54858369","10.25","50888606","10.3","45681862","9.83","3969763","7.80088768790405"
"","22103288","4.13","22322189","4.52","14797666","3.18","-218901","-0.98064307223633"
"","47070121","8.79","37148880","7.52","32629567","7.02","9921241","26.7067028669505"
"","55013453","10.28","55325074","11.19","49827327","10.72","-311621","-0.563254556152966"
"","7417676","1.39","10196856","2.06","7611342","1.64","-2779180","-27.2552637793453"
"","6670104","1.25","832753","0.17","890789","0.19","5837351","700.970275699998"
"","12944020","2.42","11342753","2.3","5054406","1.09","1601267","14.1170930901872"
,,,,,,,,
"","-59776535",,"-52671693",,"-60334685",,"-7104842",
"",,,
